Id,Banned hero
74,Sivir
74,Annie
74,Zed
74,Nidalee
74,Lulu
74,Maokai
75,Leblanc
75,Nidalee
75,Irelia
75,Maokai
75,Hecarim
75,RekSai
76,Maokai
76,Nidalee
76,Nunu
76,Annie
76,Leblanc
76,Ahri
77,Hecarim
77,Morgana
77,Sion
77,Sivir
77,Annie
77,Maokai
78,Zed
78,Nidalee
78,Lissandra
78,Leblanc
78,Morgana
78,RekSai
79,Maokai
79,Sejuani
79,RekSai
79,Karthus
79,Rumble
79,Leona
80,Kennen
80,RekSai
80,Sejuani
80,Nidalee
80,Maokai
80,Rengar
81,Nidalee
81,Lissandra
81,Maokai
81,Vladimir
81,Urgot
81,Hecarim
82,Kalista
82,Sion
82,Ahri
82,Leblanc
82,Nidalee
82,Gragas
83,Nunu
83,Hecarim
83,Sejuani
83,Lulu
83,Maokai
83,Urgot
84,Zed
84,Annie
84,Leblanc
84,Rengar
84,Maokai
84,Sejuani
85,Hecarim
85,Sejuani
85,Vi
85,Karthus
85,LeeSin
85,Nidalee
86,Rengar
86,Irelia
86,Sejuani
86,Maokai
86,Hecarim
86,Nidalee
87,Lulu
87,Nidalee
87,Zed
87,Rumble
87,Sejuani
87,Morgana
88,Nidalee
88,RekSai
88,Lulu
88,Sion
88,Maokai
88,Rumble
89,Nidalee
89,Orianna
89,Leblanc
89,Urgot
89,Hecarim
89,Sejuani
90,Karthus
90,Nidalee
90,LeeSin
90,Sion
90,Sejuani
90,Morgana
91,Annie
91,Vladimir
91,Maokai
91,Orianna
91,Leblanc
91,Rumble
92,Lulu
92,Corki
92,Sejuani
92,Zed
92,Rumble
92,Nidalee
93,Leblanc
93,Kalista
93,Hecarim
93,Alistar
93,Sejuani
93,Ashe
94,
94,KogMaw
94,Nidalee
94,Evelynn
95,Thresh
95,RekSai
95,JarvanIV
95,Gragas
95,Leblanc
95,Bard
96,Rumble
96,Kassadin
96,Kalista
96,Gragas
96,Maokai
96,Leblanc
97,Irelia
97,Leblanc
97,Kalista
97,Alistar
97,RekSai
97,Gragas
98,Leblanc
98,Hecarim
98,Urgot
98,Kalista
98,Gragas
98,RekSai
99,Leblanc
99,Gragas
99,Rumble
99,Annie
99,Alistar
99,Hecarim
100,Maokai
100,Bard
100,Gragas
100,Fizz
100,RekSai
100,Yasuo
101,Irelia
101,KogMaw
101,RekSai
101,Gragas
101,Cassiopeia
101,Leblanc
102,
102,Nidalee
102,Evelynn
103,Leblanc
103,Sejuani
103,Alistar
103,Hecarim
103,Nidalee
103,KogMaw
104,Hecarim
104,Alistar
104,Fizz
104,Gragas
104,Kalista
104,Azir
105,Fizz
105,Yasuo
105,Alistar
105,Gragas
105,Kalista
105,Ryze
106,Bard
106,Ryze
106,Alistar
106,Irelia
106,Leblanc
106,Gragas
107,Evelynn
107,Nidalee
107,Thresh
107,Gnar
107,Alistar
107,RekSai
108,Alistar
108,Fizz
108,Yasuo
108,Kalista
108,Ryze
108,RekSai
109,Fizz
109,Thresh
109,Hecarim
109,Kalista
109,Leblanc
109,Gragas
110,Rumble
110,Gragas
110,Alistar
110,Ryze
110,Yasuo
110,Thresh
111,Hecarim
111,KogMaw
111,Varus
111,Nidalee
111,Ryze
111,Alistar
112,Alistar
112,Kalista
112,JarvanIV
112,Irelia
112,Leblanc
112,Ryze
113,Leblanc
113,Kalista
113,Kassadin
113,Gragas
113,Ryze
113,Alistar
114,Azir
114,Rumble
114,Alistar
114,Leblanc
114,Ryze
114,Maokai
115,Rumble
115,Sivir
115,Gragas
115,Ryze
115,Kalista
115,RekSai
116,Kalista
116,Gragas
116,Ryze
116,
117,Leblanc
117,Azir
117,RekSai
117,Urgot
117,TwistedFate
117,Ryze
118,Leblanc
118,Hecarim
118,Sivir
118,Rumble
118,Ryze
118,Kalista
119,Nidalee
119,Thresh
119,Evelynn
119,Alistar
119,Ryze
119,Leblanc
120,Ekko
120,RekSai
120,Gragas
120,Alistar
120,Ryze
120,Sivir
121,Urgot
121,TwistedFate
121,Sivir
121,Ryze
121,Leblanc
121,Alistar
122,Irelia
122,Gragas
122,Alistar
122,Kalista
122,Ryze
122,Ekko
123,Rumble
123,Nidalee
123,Sivir
123,Kalista
123,Ryze
123,Gragas
124,
124,Ryze
124,Nidalee
124,Vladimir
125,Nidalee
125,Sivir
125,Gragas
125,Ryze
125,Ekko
125,Hecarim
126,Irelia
126,Kalista
126,Alistar
126,JarvanIV
126,Rumble
126,Ryze
127,Gragas
127,Kalista
127,Alistar
127,Ryze
127,Ekko
127,Hecarim
128,Nidalee
128,Vladimir
128,Ryze
128,
129,Irelia
129,Alistar
129,Gragas
129,Ryze
129,Ekko
129,Hecarim
130,Rumble
130,Gragas
130,Nidalee
130,Ryze
130,Kalista
130,Bard
131,Ekko
131,Sivir
131,Alistar
131,Ryze
131,Sejuani
131,Annie
132,KogMaw
132,Sivir
132,Gragas
132,Ryze
132,Azir
132,Alistar
133,RekSai
133,Alistar
133,Kalista
133,Ryze
133,Annie
133,Gragas
134,Alistar
134,KogMaw
134,RekSai
134,Ryze
134,Kalista
134,Gragas
135,Irelia
135,RekSai
135,Alistar
135,Ryze
135,Ekko
135,Gragas
136,Alistar
136,Vladimir
136,Gragas
136,Ryze
136,Rumble
136,Kalista
137,Gragas
137,Shen
137,Kassadin
137,JarvanIV
137,Alistar
137,Ryze
138,Azir
138,Annie
138,Kalista
138,Urgot
138,Ryze
138,Rumble
139,RekSai
139,Azir
139,Ekko
139,Ryze
139,Kalista
139,Gragas
140,Ekko
140,RekSai
140,Bard
140,Kalista
140,Gragas
140,Ryze
141,Rumble
141,JarvanIV
141,Kalista
141,Ryze
141,Alistar
141,TwistedFate
142,Kassadin
142,Gragas
142,Alistar
142,Viktor
142,Azir
142,Ryze
143,RekSai
143,Rumble
143,Kalista
143,Sivir
143,Ryze
143,Yasuo
144,Rumble
144,Nidalee
144,Kalista
144,Ryze
144,Vladimir
144,Irelia
145,Sivir
145,Ryze
145,Kalista
145,Rumble
146,Urgot
146,TwistedFate
146,Hecarim
146,Ryze
146,Azir
146,Kalista
147,Azir
147,Gragas
147,Alistar
147,Ryze
147,Kalista
147,Thresh
148,Sivir
148,Vladimir
148,Azir
148,Ryze
148,Alistar
148,Ezreal
149,Nautilus
149,Maokai
149,Shen
149,Kalista
149,Ryze
149,Alistar
150,Urgot
150,Nautilus
150,Alistar
150,Ryze
150,Azir
150,Kalista
151,Gragas
151,Nautilus
151,Annie
151,Ryze
151,Kalista
151,Diana
152,RekSai
152,Sivir
152,TwistedFate
152,Ryze
152,Kalista
152,Gragas
153,Vladimir
153,Diana
153,Nautilus
153,Ryze
153,Annie
153,Kalista
154,Sivir
154,Alistar
154,TwistedFate
154,Ryze
154,Shen
154,Kalista
155,Fizz
155,TwistedFate
155,Azir
155,Ryze
155,Kalista
155,Nautilus
156,Sivir
156,Yasuo
156,Gnar
156,Ryze
156,Fizz
156,Alistar
157,RekSai
157,Kalista
157,Gragas
157,Nidalee
157,Ryze
157,Maokai
158,Nidalee
158,Sivir
158,JarvanIV
158,Ryze
158,Kalista
158,Shen
159,Annie
159,Alistar
159,RekSai
159,TwistedFate
159,Ryze
159,Fizz
160,Olaf
160,Kalista
160,Alistar
160,Ryze
160,Sivir
160,Nidalee
161,Azir
161,Kalista
161,RekSai
161,Nidalee
161,Sivir
161,Yasuo
162,Sivir
162,Vladimir
162,Diana
162,Ryze
162,Annie
162,Kalista
163,Nidalee
163,Gragas
163,RekSai
163,Ryze
163,Azir
163,Orianna
164,Azir
164,RekSai
164,Kalista
164,Ryze
164,Sivir
164,Alistar
165,Azir
165,Annie
165,Nidalee
165,Ryze
165,Sivir
165,Kalista
166,Azir
166,Kalista
166,TwistedFate
166,Nidalee
166,Sivir
166,Ryze
167,Annie
167,Kalista
167,Sivir
167,Vladimir
167,Ryze
167,Nidalee
168,Nidalee
168,Shen
168,Alistar
168,Azir
168,Annie
168,Ryze
169,Alistar
169,Fizz
169,Tristana
169,Ryze
169,Rumble
169,Braum
170,Azir
170,Kalista
170,Alistar
170,Ryze
170,Sivir
170,Fizz
171,Nidalee
171,TwistedFate
171,Nautilus
171,Ryze
171,Kalista
171,RekSai
172,Urgot
172,Rumble
172,Sivir
172,Ryze
172,Shen
172,Kalista
173,Azir
173,Sivir
173,Alistar
173,Ryze
173,Kalista
173,Tristana
